Epoch,Accuracy,Sybil %
1,0.4375,50
2,0.4375,50
3,0.4375,50
4,0.4375,50
5,0.4375,50
6,0.4375,50
7,0.4375,50
8,0.4375,50
9,0.4375,50
10,0.4375,50
11,0.4375,50
12,0.5,50
13,0.4375,50
14,0.4375,50
15,0.4375,50
16,0.4375,50
17,0.4375,50
18,0.4375,50
19,0.625,50
20,0.4375,50
21,0.625,50
22,0.375,50
23,0.375,50
24,0.25,50
25,0.4375,50
26,0.25,50
27,0.25,50
28,0.25,50
29,0.625,50
30,0.25,50
31,0.5,50
32,0.4375,50
33,0.5,50
34,0.4375,50
35,0.4375,50
36,0.4375,50
37,0.4375,50
38,0.4375,50
39,0.4375,50
40,0.3125,50
41,0.5,50
42,0.3125,50
43,0.3125,50
44,0.3125,50
45,0.3125,50
46,0.3125,50
47,0.3125,50
48,0.3125,50
49,0.3125,50
50,0.25,50
51,0.3125,50
52,0.3125,50
53,0.3125,50
54,0.375,50
55,0.3125,50
56,0.3125,50
57,0.4375,50
58,0.4375,50
59,0.3125,50
60,0.4375,50
61,0.5625,50
62,0.3125,50
63,0.6875,50
64,0.4375,50
65,0.4375,50
66,0.4375,50
67,0.4375,50
68,0.4375,50
69,0.4375,50
70,0.4375,50
71,0.4375,50
72,0.4375,50
73,0.3125,50
74,0.3125,50
75,0.375,50
76,0.3125,50
77,0.3125,50
78,0.5,50
79,0.5,50
80,0.3125,50
81,0.3125,50
82,0.3125,50
83,0.3125,50
84,0.3125,50
85,0.375,50
86,0.4375,50
87,0.5625,50
88,0.4375,50
89,0.4375,50
90,0.4375,50
91,0.4375,50
92,0.4375,50
93,0.4375,50
94,0.4375,50
95,0.5625,50
96,0.3125,50
97,0.625,50
98,0.3125,50
99,0.5625,50
100,0.4375,50
